"FullName",Nome Parlamentar-Partido-UF
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_12.jpeg",Antonio Brito-PSD-BA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_2.jpeg",Arlindo Chinaglia-PT-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_3.jpeg",Arnaldo Jardim-CIDADANIA-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_4.jpeg",Aroldo Martins-REPUBLICANOS-PR
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_5.jpeg",Arthur Lira-PP-AL
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_6.jpeg",Arthur Oliveira Maia-UNIÃO-BA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_7.jpeg",Átila Lins-PSD-AM
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_8.jpeg",Átila Lira-PP-PI
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image13_9.jpeg",Augusto Coutinho-REPUBLICANOS-PE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_1.jpeg",Áurea Carolina-PSOL-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_10.jpeg",Aureo Ribeiro-SOLIDARIEDADE-RJ
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_11.jpeg",Bacelar-PV-BA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_12.jpeg",Baleia Rossi-MDB-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_2.jpeg",Benedita da Silva-PT-RJ
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_3.jpeg",Benes Leocádio-UNIÃO-RN
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_4.jpeg",Beto Faro-PT-PA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_5.jpeg",Beto Pereira-PSDB-MS
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_6.jpeg",Beto Rosado-PP-RN
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_7.jpeg",Bia Kicis-PL-DF
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_8.jpeg",Bibo Nunes-PL-RS
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image14_9.jpeg",Bilac Pinto-UNIÃO-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image15_1.jpeg",Bira do Pindaré-PSB-MA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image15_10.jpeg",Bohn Gass-PT-RS
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image15_11.jpeg",Bosco Costa-PL-SE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image15_12.jpeg",Bosco Saraiva-SOLIDARIEDADE-AM
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image15_2.jpeg",Bozzella-UNIÃO-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image15_3.jpeg",Bruna Furlan-PSDB-SP
